,T,sigma,K,r,model,Model Price,Binomial Price,Lower,Upper,Absolute Error,Relative Error
122,0.5,0.15,100,0.01,xgboost,158.23929169652547,4.459929017110389,100.3060042409233,216.17257915212764,153.77936267941507,3448.022649899695
123,0.5,0.15,100,0.01,mlp,68.26021716132915,4.459929017110389,19.453421407368296,117.06701291529001,63.80028814421876,1430.5225015790788
124,0.5,0.15,100,0.03,poly,58.12385023878458,4.965735214754316,10.895963495956984,105.35173698161216,53.15811502403026,1070.498379899225
125,0.5,0.15,100,0.03,random forest,134.26877815574508,4.965735214754316,83.94789697106242,184.58965934042774,129.30304294099076,2603.9053100697424
126,0.5,0.15,100,0.03,xgboost,158.51618908397256,4.965735214754316,100.55549598396175,216.47688218398338,153.55045386921825,3092.1997897307397
127,0.5,0.15,100,0.03,mlp,68.40994136799867,4.965735214754316,19.578458867968806,117.24142386802853,63.44420615324435,1277.6397332813347
128,0.5,0.15,100,0.05,poly,46.18326114582646,5.502452603530735,6.456817174932517,85.9097051167204,40.68080854229572,739.3213803639535
129,0.5,0.15,100,0.05,random forest,135.60424805039887,5.502452603530735,84.77139856710919,186.43709753368853,130.10179544686812,2364.432823344744
130,0.5,0.15,100,0.05,xgboost,158.79110336312473,5.502452603530735,100.80337335450372,216.77883337174575,153.288650759594,2785.8241007152687
131,0.5,0.15,100,0.05,mlp,69.11916374236912,5.502452603530735,19.913640193999868,118.32468729073838,63.61671113883839,1156.1519148391706
132,0.5,0.15,110,0.01,poly,57.961618617197054,1.190112305353204,10.938865774130832,104.98437146026328,56.77150631184385,4770.264625992174
133,0.5,0.15,110,0.01,random forest,127.43324612003317,1.190112305353204,76.96742458972332,177.89906765034303,126.24313381467996,10607.665616667435
134,0.5,0.15,110,0.01,xgboost,149.59728774988167,1.190112305353204,91.80035267416807,207.39422282559528,148.40717544452846,12470.014365617697
135,0.5,0.15,110,0.01,mlp,67.54931462339314,1.190112305353204,18.61571806385617,116.48291118293011,66.35920231803993,5575.877336916175
136,0.5,0.15,110,0.03,poly,57.49492988827422,1.3983905877565834,10.434337146077347,104.5555226304711,56.09653930051764,4011.5072134826405
137,0.5,0.15,110,0.03,random forest,131.41070229212986,1.3983905877565834,75.77376965954508,187.04763492471463,130.01231170437327,9297.281663841148
138,0.5,0.15,110,0.03,xgboost,149.90104522492769,1.3983905877565834,92.0728337942067,207.72925665564867,148.5026546371711,10619.54048728343
139,0.5,0.15,110,0.03,mlp,67.7033775961383,1.3983905877565834,18.73529391081206,116.67146128146453,66.30498700838172,4741.521259432516
